PXD040399	10117404	Rural hospitals' viability and strategic responses. 	Systemic LRG1 expression in melanoma is associated with disease progression and recurrence	LRG1, checkpoint inhibitor, melanoma, serum, systemic immune suppression	In 1989 the Catholic Health Association, in conjunction with the University of Iowa Center for Health Services Research, surveyed chief executive officers (CEOs) of rural hospitals regarding their hospital's viability and strategic behaviors and orientations. An extensive questionnaire was sent to the CEOs of all Catholic, all other religious not-for-profit, and all investor-owned rural hospitals, as well as to a 50 percent random sample of government and other not-for-profit rural hospitals. CEOs on average perceived that their hospital's viability relative to that of other rural hospitals was higher in 1989 than it had been in 1987. Ninety-four percent of hospitals whose CEOs perceived an increase in viability had been medium- or low-viability hospitals two years earlier. Thus, despite reports of deteriorating conditions for rural hospitals, rural hospital CEOs appeared to be relatively optimistic regarding their institution's viability. Changes in strategic direction accompanied these perceived increases in viability. The predominant strategic orientation adopted by rural hospitals in 1987 was that of the defender, but many hospitals that used this approach switched to the analyzer orientation by 1989. Significant shifts also occurred toward the reactor orientation from the analyzer and defender orientations. A greater percentage of hospitals with a perceived increase in viability between 1987 and 1989 altered their organizational role. The most common change for these hospitals was from limited care to basic care.
PXD004544	28040530	Correlation of cell surface proteins of distinct Beauveria bassiana cell types and adaption to varied environment and interaction with the host insect. 	LC-MS/MS of dithiothreitol-extracted proteins from the insect fungal pathogen Beauveria bassiana hyphal bodies (in vivo blastospores)	Beauveria bassiana, DTT-extracted proteins, LLC-MS/MS, hyphal bodies, in vivo blastospores	The insect fungal pathogen Beauveria bassiana produces a number of distinct cell types that include aerial conidia, blastospores and haemolymph-derived cells, termed hyphal bodies, to adapt varied environment niches and within the host insect. These cells display distinct biochemical properties and surface structures, and a highly ordered outermost brush-like structure uniquely present on hyphal bodies, but not on any in vitro cells. Here, we found that the outermost structure on the hyphal bodies mainly consisted of proteins associated to structural wall components in that most of it could be removed by dithiothreitol (DTT) or proteinase K. DTT-treatment also caused delayed germination, decreased tolerance to ultraviolet irradiation and virulence of conidia or blastospores, with decreased adherence and alternated carbohydrate epitopes, suggesting involvement in fungal development, stress responses and virulence. To characterize these cell surface molecules, proteins were released from the living cells using DTT, and identified and quantitated using label-free quantitative mass spectrometry. Thereafter, a series of bioinformatics programs were used to predict cell surface-associated proteins (CSAPs), and 96, 166 and 54 CSAPs were predicted from the identified protein pools of conidia, blastospores and hyphal bodies, respectively, which were involved in utilization of carbohydrate, nitrogen, and lipid, detoxification, pathogen-host interaction, and likely other cellular processes. Thirteen, sixty-nine and six CSAPs were exclusive in conidia, blastospores and hyphal bodies, respectively, which were verified by eGFP-tagged proteins at their N-terminus. Our data provide a crucial cue to understand mechanism of B. bassiana to adapt to varied environment and interaction with insect host.
PXD002533	28042331	Comprehensive Metaproteomic Analyses of Urine in the Presence and Absence of Neutrophil-Associated Inflammation in the Urinary Tract. 	Comprehensive Metaproteomic Analyses of Urine	clinicao proteomics, metaproteomics, urine	Inflammation in the urinary tract results in a urinary proteome characterized by a high dynamic range of protein concentrations and high variability in protein content. This proteome encompasses plasma proteins not resorbed by renal tubular uptake, renal secretion products, proteins of immune cells and erythrocytes derived from trans-urothelial migration and vascular leakage, respectively, and exfoliating urothelial and squamous epithelial cells. We examined how such proteins partition into soluble urine (SU) and urinary pellet (UP) fractions by analyzing 33 urine specimens 12 of which were associated with a urinary tract infection (UTI). Using mass spectrometry-based metaproteomic approaches, we identified 5,327 non-redundant human proteins, 2,638 and 4,379 of which were associated with SU and UP fractions, respectively, and 1,206 non-redundant protein orthology groups derived from pathogenic and commensal organisms of the urogenital tract. Differences between the SU and UP proteomes were influenced by local inflammation, supported by respective comparisons with 12 healthy control urine proteomes. Clustering analyses showed that SU and UP fractions had proteomic signatures discerning UTIs, vascular injury, and epithelial cell exfoliation from the control group to varying degrees. Cases of UTI revealed clusters of proteins produced by activated neutrophils. Network analysis supported the central role of neutrophil effector proteins in the defense against invading pathogens associated with subsequent coagulation and wound repair processes. Our study expands the existing knowledge of the urinary proteome under perturbed conditions, and should be useful as reference dataset in the search of biomarkers.
PXD004863	28044435	Expanding the cerebrospinal fluid endopeptidome. 	Expanding the cerebrospinal fluid endopeptidome	Alzheimer's disease, Cerebrospinal fluid, Parkinson's disease, biomarkers, neurodegeneration, peptides, peptidomics	Biomarkers of neurodegenerative disorders are needed to assist in diagnosis, to monitor disease progression and therapeutic interventions, and to provide insight into disease mechanisms. One route to identify such biomarkers is by proteomic and peptidomic analysis of cerebrospinal fluid (CSF). In the current study, we performed an in-depth analysis of the human CSF endopeptidome to establish an inventory that may serve as a basis for future targeted biomarker studies. High-pH RP HPLC was employed for off-line sample prefractionation followed by low-pH nano-LC-MS analysis. Different software programs and scoring algorithms for peptide identification were employed and compared. A total of 18 031 endogenous peptides were identified at a FDR of 1%, increasing the number of known endogenous CSF peptides 10-fold compared to previous studies. The peptides were derived from 2 053 proteins of which more than 60 have been linked to neurodegeneration. Notably, among the findings were six peptides derived from microtubule-associated protein tau, three of which span the diagnostically interesting threonine-181 (Tau-F isoform). Also, 213 peptides from amyloid precursor protein were identified, 58 of which were partially or completely within the sequence of amyloid beta 1-40/42, as well as 109 peptides from apolipoprotein E, spanning sequences that discriminate between the E2/E3/E4 isoforms of the protein.
PXD004208	28050635	Biotransformation and reduction of estrogenicity of bisphenol A by the biphenyl-degrading Cupriavidus basilensis. 	Different mechanisms of biotransformation of bisphenol A by the biphenyl-degrading Cupriavidus basilensis SBUG 290 lead to detoxification and reduction of estrogenicity	bisphenol A-degradation	The biphenyl-degrading Gram-negative bacterium Cupriavidus basilensis (formerly Ralstonia sp.) SBUG 290 uses various aromatic compounds as carbon and energy sources and has a high capacity to transform bisphenol A (BPA), which is a hormonally active substance structurally related to biphenyl. Biphenyl-grown cells initially hydroxylated BPA and converted it to four additional products by using three different transformation pathways: (a) formation of multiple hydroxylated BPA, (b) ring fission, and (c) transamination followed by acetylation or dimerization. Products of the ring fission pathway were non-toxic and all five products exhibited a significantly reduced estrogenic activity compared to BPA. Cell cultivation with phenol and especially in nutrient broth (NB) resulted in a reduced biotransformation rate and lower product quantities, and NB-grown cells did not produce all five products in detectable amounts. Thus, the question arose whether enzymes of the biphenyl degradation pathway are involved in the transformation of BPA and was addressed by proteomic analyses.
PXD004939	28054942	A Comprehensive Proteomic Survey of ABA-Induced Protein Phosphorylation in Rice (Oryza sativa L.). 	A comprehensive proteomic survey of ABA-induced protein phosphorylation in rice (Oryza sativa L.)	Rice (Oryza sativa L.) - Abscisic acid - signaling - phosphorylation - proteome	abscisic acid (ABA) is a key phytohormone regulating plant development and stress response. The signal transduction of ABA largely relies on protein phosphorylation. However; little is known about the phosphorylation events occurring during ABA signaling in rice thus far. By employing a label-free; MS (Mass Spectrometry)-based phosphoproteomic approach; we identified 2271 phosphosites of young rice seedlings and their intensity dynamics in response to ABA; during which 1060 proteins were found to be differentially phosphorylated. Western-blot analysis verified the differential phosphorylation pattern of D1, SMG1 and SAPK9 as indicated by the MS result; suggesting the high reliability of our phosphoproteomic data. The DP (differentially phosphorylated) proteins are extensively involved in ABA as well as other hormone signaling pathways. It is suggested that ABA antagonistically regulates brassinosteroid (BR) signaling via inhibiting BR receptor activity. The result of this study not only expanded our knowledge of rice phosphoproteome, but also shed more light on the pattern of protein phosphorylation in ABA signaling.
PXD004994	28056797	Comparative proteomic analysis reveals a dynamic pollen plasma membrane protein map and the membrane landscape of receptor-like kinases and transporters important for pollen tube growth and interaction with pistils in rice. 	Rice pollen plasma membrane iTRAQ	iTRAQ, plasma membrane, pollen	BACKGROUND: The coordination of pollen tube (PT) growth, guidance and timely growth arrest and rupture mediated by PT-pistil interaction is crucial for the PT to transport sperm cells into ovules for double fertilization. The plasma membrane (PM) represents an important interface for cell-cell interaction, and PM proteins of PTs are pioneers for mediating PT integrity and interaction with pistils. Thus, understanding the mechanisms underlying these events is important for proteomics. RESULTS: Using the efficient aqueous polymer two-phase system and alkali buffer treatment, we prepared high-purity PM from mature and germinated pollen of rice. We used iTRAQ quantitative proteomic methods and identified 1,121 PM-related proteins (PMrPs) (matched to 899 loci); 192 showed differential expression in the two pollen cell types, 119 increased and 73 decreased in abundance during germination. The PMrP and differentially expressed PMrP sets all showed a functional skew toward signal transduction, transporters, wall remodeling/metabolism and membrane trafficking. Their genomic loci had strong chromosome bias. We found 37 receptor-like kinases (RLKs) from 8 kinase subfamilies and 209 transporters involved in flux of diversified ions and metabolites. In combination with the rice pollen transcriptome data, we revealed that in general, the protein expression of these PMrPs disagreed with their mRNA expression, with inconsistent mRNA expression for 74% of differentially expressed PMrPs. CONCLUSIONS: This study identified genome-wide pollen PMrPs, and provided insights into the membrane profile of receptor-like kinases and transporters important for pollen tube growth and interaction with pistils. These pollen PMrPs and their mRNAs showed discordant expression. This work provides resource and knowledge to further dissect mechanisms by which pollen or the PT controls PMrP abundance and monitors interactions and ion and metabolite exchanges with female cells in rice.
PXD003588	28057767	Nano Random Forests to mine protein complexes and their relationships in quantitative proteomics data. 	Nano Random Forests to mine proteomics data for protein complexes and their relationships in quantitative proteomics data	Machine learning, SILAC, SMC, chicken, kinetochore, mitotic chromosomes	Ever-increasing numbers of quantitative proteomics data sets constitute an underexploited resource for investigating protein function. Multiprotein complexes often follow consistent trends in these experiments, which could provide insights about their biology. Yet, as more experiments are considered, a complex's signature may become conditional and less identifiable. Previously we successfully distinguished the general proteomic signature of genuine chromosomal proteins from hitchhikers using the Random Forests (RF) machine learning algorithm. Here we test whether small protein complexes can define distinguishable signatures of their own, despite the assumption that machine learning needs large training sets. We show, with simulated and real proteomics data, that RF can detect small protein complexes and relationships between them. We identify several complexes in quantitative proteomics results of wild-type and knockout mitotic chromosomes. Other proteins covary strongly with these complexes, suggesting novel functional links for later study. Integrating the RF analysis for several complexes reveals known interdependences among kinetochore subunits and a novel dependence between the inner kinetochore and condensin. Ribosomal proteins, although identified, remained independent of kinetochore subcomplexes. Together these results show that this complex-oriented RF (NanoRF) approach can integrate proteomics data to uncover subtle protein relationships. Our NanoRF pipeline is available online.
PXD004692	28059076	Structure of the cohesin loader Scc2. 	Structure of the Cohesin Loader Scc2-Scc4 and its Binding to a Folded Cohesin	CX-MS, Cohesin, Cross-linking	The functions of cohesin are central to genome integrity, chromosome organization and transcription regulation through its prevention of premature sister-chromatid separation and the formation of DNA loops. The loading of cohesin onto chromatin depends on the Scc2-Scc4 complex; however, little is known about how it stimulates the cohesion-loading activity. Here we determine the large 'hook' structure of Scc2 responsible for catalysing cohesin loading. We identify key Scc2 surfaces that are crucial for cohesin loading in vivo. With the aid of previously determined structures and homology modelling, we derive a pseudo-atomic structure of the full-length Scc2-Scc4 complex. Finally, using recombinantly purified Scc2-Scc4 and cohesin, we performed crosslinking mass spectrometry and interaction assays that suggest Scc2-Scc4 uses its modular structure to make multiple contacts with cohesin.
PXD002966	28062376	A biotin enrichment strategy identifies novel carbonylated amino acids in proteins from human plasma. 	OXIPEP: mass spectrometry strategy to characterize protein carbonylation.	biotin-hydrazide, bovine serum albumine, human plasma, protein carbonylation	Protein carbonylation is an irreversible protein oxidation correlated with oxidative stress, various diseases and ageing. Here we describe a peptide-centric approach for identification and characterisation of up to 14 different types of carbonylated amino acids in proteins. The modified residues are derivatised with biotin-hydrazide, enriched and characterised by tandem mass spectrometry. The strength of the method lies in an improved elution of biotinylated peptides from monomeric avidin resin using hot water (95degreesC) and increased sensitivity achieved by reduction of analyte losses during sample preparation and chromatography. For the first time MS/MS data analysis utilising diagnostic biotin fragment ions is used to pinpoint sites of biotin labelling and improve the confidence of carbonyl peptide assignments. We identified a total of 125 carbonylated residues in bovine serum albumin after extensive in vitro metal ion-catalysed oxidation. Furthermore, we assigned 133 carbonylated sites in 36 proteins in native human plasma protein samples. The optimised workflow enabled detection of 10 hitherto undetected types of carbonylated amino acids in proteins: aldehyde and ketone modifications of leucine, valine, alanine, isoleucine, glutamine, lysine and glutamic acid (+14Da), an oxidised form of methionine - aspartate semialdehyde (-32Da) - and decarboxylated glutamic acid and aspartic acid (-30Da). BIOLOGICAL SIGNIFICANCE: Proteomic tools provide a promising way to decode disease mechanisms at the protein level and help to understand how carbonylation affects protein structure and function. The challenge for future research is to identify the type and nature of oxidised residues to gain a deeper understanding of the mechanism(s) governing carbonylation in cells and organisms and assess their role in disease.
PXD002765	28062706	Combinatorial Drug Screening Identifies Ewing Sarcoma-specific Sensitivities. 	Proteomics analysis of synergistic drug combination of midostaurin and BMS-754807 in Ewing sarcoma ASP14 cell line	Ewing Sarcoma, drug synergy	Improvements in survival for Ewing sarcoma pediatric and adolescent patients have been modest over the past 20 years. Combinations of anticancer agents endure as an option to overcome resistance to single treatments caused by compensatory pathways. Moreover, combinations are thought to lessen any associated adverse side effects through reduced dosing, which is particularly important in childhood tumors. Using a parallel phenotypic combinatorial screening approach of cells derived from three pediatric tumor types, we identified Ewing sarcoma-specific interactions of a diverse set of targeted agents including approved drugs. We were able to retrieve highly synergistic drug combinations specific for Ewing sarcoma and identified signaling processes important for Ewing sarcoma cell proliferation determined by EWS-FLI1 We generated a molecular target profile of PKC412, a multikinase inhibitor with strong synergistic propensity in Ewing sarcoma, revealing its targets in critical Ewing sarcoma signaling routes. Using a multilevel experimental approach including quantitative phosphoproteomics, we analyzed the molecular rationale behind the disease-specific synergistic effect of simultaneous application of PKC412 and IGF1R inhibitors. The mechanism of the drug synergy between these inhibitors is different from the sum of the mechanisms of the single agents. The combination effectively inhibited pathway crosstalk and averted feedback loop repression, in EWS-FLI1-dependent manner. Mol Cancer Ther; 16(1); 88-101. (c)2016 AACR.
PXD003811	28062795	Stable Isotope Labeling with Amino Acids (SILAC)-Based Proteomics of Primary Human Kidney Cells Reveals a Novel Link between Male Sex Hormones and Impaired Energy Metabolism in Diabetic Kidney Disease. 	SILAC-Based Proteomics of Primary Human Kidney Cells treated with Sex Hormones.	Kidney cells, SILAC, Sex hormones	Male sex predisposes to many kidney diseases. Considering that androgens exert deleterious effects in a variety of cell types within the kidney, we hypothesized that dihydrotestosterone (DHT) would alter the biology of the renal tubular cell by inducing changes in the proteome. We employed stable isotope labeling with amino acids (SILAC) in an indirect spike-in fashion to accurately quantify the proteome in DHT- and 17beta-estradiol (EST)-treated human proximal tubular epithelial cells (PTEC). Of the 5043 quantified proteins, 76 were differentially regulated. Biological processes related to energy metabolism were significantly enriched among DHT-regulated proteins. SILAC ratios of 3 candidates representing glycolysis, N-acetylglucosamine metabolism and fatty acid beta-oxidation, namely glucose-6-phosphate isomerase (GPI), glucosamine-6-phosphate-N-acetyltransferase 1 (GNPNAT1), and mitochondrial trifunctional protein subunit alpha (HADHA), were verified in vitro. In vivo, renal GPI and HADHA protein expression was significantly increased in males. Furthermore, male sex was associated with significantly higher GPI, GNPNAT1, and HADHA kidney protein expression in two different murine models of diabetes. Enrichment analysis revealed a link between our DHT-regulated proteins and oxidative stress within the diabetic kidney. This finding was validated in vivo, as we observed increased oxidative stress levels in control and diabetic male kidneys, compared with females. This in depth quantitative proteomics study of human primary PTEC response to sex hormone administration suggests that male sex hormone stimulation results in perturbed energy metabolism in kidney cells, and that this perturbation results in increased oxidative stress in the renal cortex. The proteome-level changes associated with androgens may play a crucial role in the development of structural and functional changes in the diseased kidney. With our findings, we propose a possible link between diabetic and non-diabetic kidney disease progression and male sex hormone levels. Data are available via ProteomeXchange (https://www.ebi.ac.uk/pride/archive/) with identifier PXD003811.
PXD004608	28062796	Integrated Cellular and Plasma Proteomics of Contrasting B-cell Cancers Reveals Common, Unique and Systemic Signatures. 	Integrated cellular and plasma proteomics reveals common and systemic signatures in contrasting B-cell cancers	B-cell, Eµ-TCL1, Eµ-myc, leukaemia, lymphoma, oncogenesis, plasma	Approximately 800,000 leukemia and lymphoma cases are diagnosed worldwide each year. Burkitt's lymphoma (BL) and chronic lymphocytic leukemia (CLL) are examples of contrasting B-cell cancers; BL is a highly aggressive lymphoid tumor, frequently affecting children, whereas CLL typically presents as an indolent, slow-progressing leukemia affecting the elderly. The B-cell-specific overexpression of the myc and TCL1 oncogenes in mice induce spontaneous malignancies modeling BL and CLL, respectively. Quantitative mass spectrometry proteomics and isobaric labeling were employed to examine the biology underpinning contrasting Emu-myc and Emu-TCL1 B-cell tumors. Additionally, the plasma proteome was evaluated using subproteome enrichment to interrogate biomarker emergence and the systemic effects of tumor burden. Over 10,000 proteins were identified (q<0.01) of which 8270 cellular and 2095 plasma proteins were quantitatively profiled. A common B-cell tumor signature of 695 overexpressed proteins highlighted ribosome biogenesis, cell-cycle promotion and chromosome segregation. Emu-myc tumors overexpressed several methylating enzymes and underexpressed many cytoskeletal components. Emu-TCL1 tumors specifically overexpressed ER stress response proteins and signaling components in addition to both subunits of the interleukin-5 (IL5) receptor. IL5 treatment promoted Emu-TCL1 tumor proliferation, suggesting an amplification of IL5-induced AKT signaling by TCL1. Tumor plasma contained a substantial tumor lysis signature, most prominent in Emu-myc plasma, whereas Emu-TCL1 plasma contained signatures of immune-response, inflammation and microenvironment interactions, with putative biomarkers in early-stage cancer. These findings provide a detailed characterization of contrasting B-cell tumor models, identifying common and specific tumor mechanisms. Integrated plasma proteomics allowed the dissection of a systemic response and a tumor lysis signature present in early- and late-stage cancers, respectively. Overall, this study suggests common B-cell cancer signatures exist and illustrates the potential of the further evaluation of B-cell cancer subtypes by integrative proteomics.
PXD001556	28062798	Quantitative Proteome Analysis of Mouse Liver Lysosomes Provides Evidence for Mannose 6-phosphate-independent Targeting Mechanisms of Acid Hydrolases in Mucolipidosis II. 	Mouse lysosome - LC-DIA-IM-MS	liver, lysosome	The efficient receptor-mediated targeting of soluble lysosomal proteins to lysosomes requires the modification with mannose 6-phosphate (M6P) residues. Although the absence of M6P results in misrouting and hypersecretion of lysosomal enzymes in many cells, normal levels of lysosomal enzymes have been reported in liver of patients lacking the M6P-generating phosphotransferase (PT). The identity of lysosomal proteins depending on M6P has not yet been comprehensively analyzed. In this study we purified lysosomes from liver of PT-defective mice and 67 known soluble lysosomal proteins were identified that illustrated quantitative changes using an ion mobility-assisted data-independent label-free LC-MS approach. After validation of various differentially expressed lysosomal components by Western blotting and enzyme activity assays, the data revealed a small number of lysosomal proteins depending on M6P, including neuraminidase 1, cathepsin F, Npc2, and cathepsin L, whereas the majority reach lysosomes by alternative pathways. These data were compared with findings on cultured hepatocytes and liver sinusoid endothelial cells isolated from the liver of wild-type and PT-defective mice. Our findings show that the relative expression, targeting efficiency and lysosomal localization of lysosomal proteins tested in cultured hepatic cells resemble their proportion in isolated liver lysosomes. Hypersecretion of newly synthesized nonphosphorylated lysosomal proteins suggest that secretion-recapture mechanisms contribute to maintain major lysosomal functions in liver.
PXD003745	28062852	A proteomic approach to identify endosomal cargoes controlling cancer invasiveness. 	A proteomic approach to identify endosomal cargoes controlling cancer invasiveness	Cancer, Label-free, Orbitrap, Recyclome, SILAC	We have previously shown that Rab17, a small GTPase associated with epithelial polarity, is specifically suppressed by ERK2 (also known as MAPK1) signalling to promote an invasive phenotype. However, the mechanisms through which Rab17 loss permits invasiveness, and the endosomal cargoes that are responsible for mediating this, are unknown. Using quantitative mass spectrometry-based proteomics, we have found that knockdown of Rab17 leads to a highly selective reduction in the cellular levels of a v-SNARE (Vamp8). Moreover, proteomics and immunofluorescence indicate that Vamp8 is associated with Rab17 at late endosomes. Reduced levels of Vamp8 promote transition between ductal carcinoma in situ (DCIS) and a more invasive phenotype. We developed an unbiased proteomic approach to elucidate the complement of receptors that redistributes between endosomes and the plasma membrane, and have pin-pointed neuropilin-2 (NRP2) as a key pro-invasive cargo of Rab17- and Vamp8-regulated trafficking. Indeed, reduced Rab17 or Vamp8 levels lead to increased mobilisation of NRP2-containing late endosomes and upregulated cell surface expression of NRP2. Finally, we show that NRP2 is required for the basement membrane disruption that accompanies the transition between DCIS and a more invasive phenotype.
PXD004181	28064214	HSP90 promotes Burkitt lymphoma cell survival by maintaining tonic B-cell receptor signaling. 	HSP90 promotes Burkitt lymphoma cell survival by maintaining tonic B cell receptor signaling	BCR signaling, Burkitt's lymphoma, HSP90, Syk, phosphoproteomics	Burkitt lymphoma (BL) is an aggressive B-cell neoplasm that is currently treated by intensive chemotherapy in combination with anti-CD20 antibodies. Because of their toxicity, current treatment regimens are often not suitable for elderly patients or for patients in developing countries where BL is endemic. Targeted therapies for BL are therefore needed. In this study, we performed a compound screen in 17 BL cell lines to identify small molecule inhibitors affecting cell survival. We found that inhibitors of heat shock protein 90 (HSP90) induced apoptosis in BL cells in vitro at concentrations that did not affect normal B cells. By global proteomic and phosphoproteomic profiling, we show that, in BL, HSP90 inhibition compromises the activity of the pivotal B-cell antigen receptor (BCR)-proximal effector spleen tyrosine kinase (SYK), which we identified as an HSP90 client protein. Consistently, expression of constitutively active TEL-SYK counteracted the apoptotic effect of HSP90 inhibition. Together, our results demonstrate that HSP90 inhibition impairs BL cell survival by interfering with tonic BCR signaling, thus providing a molecular rationale for the use of HSP90 inhibitors in the treatment of BL.
PXD004815	28065164	Plasma proteome and metabolome characterization of an experimental human thyrotoxicosis model. 	Proteomics study of a human thyrotoxicosis mode	Plasma, Thyrotoxicosis	BACKGROUND: Determinations of thyrotropin (TSH) and free thyroxine (FT4) represent the gold standard in evaluation of thyroid function. To screen for novel peripheral biomarkers of thyroid function and to characterize FT4-associated physiological signatures in human plasma we used an untargeted OMICS approach in a thyrotoxicosis model. METHODS: A sample of 16 healthy young men were treated with levothyroxine for 8 weeks and plasma was sampled before the intake was started as well as at two points during treatment and after its completion, respectively. Mass spectrometry-derived metabolite and protein levels were related to FT4 serum concentrations using mixed-effect linear regression models in a robust setting. To compile a molecular signature discriminating between thyrotoxicosis and euthyroidism, a random forest was trained and validated in a two-stage cross-validation procedure. RESULTS: Despite the absence of obvious clinical symptoms, mass spectrometry analyses detected 65 metabolites and 63 proteins exhibiting significant associations with serum FT4. A subset of 15 molecules allowed a robust and good prediction of thyroid hormone function (AUC = 0.86) without prior information on TSH or FT4. Main FT4-associated signatures indicated increased resting energy expenditure, augmented defense against systemic oxidative stress, decreased lipoprotein particle levels, and increased levels of complement system proteins and coagulation factors. Further association findings question the reliability of kidney function assessment under hyperthyroid conditions and suggest a link between hyperthyroidism and cardiovascular diseases via increased dimethylarginine levels. CONCLUSION: Our results emphasize the power of untargeted OMICs approaches to detect novel pathways of thyroid hormone action. Furthermore, beyond TSH and FT4, we demonstrated the potential of such analyses to identify new molecular signatures for diagnosis and treatment of thyroid disorders. This study was registered at the German Clinical Trials Register (DRKS) [DRKS00011275] on the 16th of November 2016.
PXD004248	28065597	A Global Analysis of the Receptor Tyrosine Kinase-Protein Phosphatase Interactome. 	A Global Analysis of Receptor Tyrosine Kinase - Protein Phosphatase Interactome	Tyrosine Kinaase, phosphatase interactome	Receptor tyrosine kinases (RTKs) and protein phosphatases comprise protein families that play crucial roles in cell signaling. We used two protein-protein interaction (PPI) approaches, the membrane yeast two-hybrid (MYTH) and the mammalian membrane two-hybrid (MaMTH), to map the PPIs between human RTKs and phosphatases. The resulting RTK-phosphatase interactome reveals a considerable number of previously unidentified interactions and suggests specific roles for different phosphatase families. Additionally, the differential PPIs of some protein tyrosine phosphatases (PTPs) and their mutants suggest diverse mechanisms of these PTPs in the regulation of RTK signaling. We further found that PTPRH and PTPRB directly dephosphorylate EGFR and repress its downstream signaling. By contrast, PTPRA plays a dual role in EGFR signaling: besides facilitating EGFR dephosphorylation, it enhances downstream ERK signaling by activating SRC. This comprehensive RTK-phosphatase interactome study provides a broad and deep view of RTK signaling.
PXD003056	28065881	An integrated transcriptomics-guided genome-wide promoter analysis and next-generation proteomics approach to mine factor(s) regulating cellular differentiation. 	SWATH-MS analysis of nuclear and cytoplasmic fractions of rat Sertoli cells	Cytoplasm, Nucleus, Sertoli cell	Differential next-generation-omics approaches aid in the visualization of biological processes and pave the way for divulging important events and/or interactions leading to a functional output at cellular or systems level. To this end, we undertook an integrated Nextgen transcriptomics and proteomics approach to divulge differential gene expression of infant and pubertal rat Sertoli cells (Sc).Unlike, pubertal Sc, infant Sc are immature and fail to support spermatogenesis. We found exclusive association of 14 and 19 transcription factor binding sites to infantile and pubertal states of Sc, respectively, using differential transcriptomics-guided genome-wide computational analysis of relevant promoters employing 220 Positional Weight Matrices from the TRANSFAC database. Proteomic SWATH-MS analysis provided extensive quantification of nuclear and cytoplasmic protein fractions revealing 1,670 proteins differentially located between the nucleus and cytoplasm of infant Sc and 890 proteins differentially located within those of pubertal Sc. Based on our multi-omics approach, the transcription factor YY1 was identified as one of the lead candidates regulating differentiation of Sc.YY1 was found to have abundant binding sites on promoters of genes upregulated during puberty. To determine its significance, we generated transgenic rats with Sc specific knockdown of YY1 that led to compromised spermatogenesis.
PXD005312	28066266	Deep Phosphoproteomic Measurements Pinpointing Drug Induced Protective Mechanisms in Neuronal Cells. 	Deep Phosphoproteomic measurements pinpointing drug induced protective mechanisms in neuro-2a cells	Neuro-2a, phosphoproteome	Alzheimer's disease (AD) is a progressive and irreversible neurological disorder that impairs the living quality of old population and even life spans. New compounds have shown potential inneuroprotective effects in AD, such as GFKP-19, a 2-pyrrolidone derivative which has been proved to enhance the memory of dysmnesia mouse. The molecular mechanisms remain to be established for these drug candidates. Large-scale phosphoproteomic approach has been evolved rapidly in the last several years, which holds the potential to provide a useful toolkit to understand cellular signaling underlying drug effects. To establish and test such a method, we accurately analyzed the deep quantitative phosphoproteome of the neuro-2a cells treated with and without GFKP-19 using triple SILAC labeling. A total of 14,761 Class I phosphosites were quantified between controls, damaged, and protected conditions using the high resolution mass spectrometry, with a decent inter-mass spectrometer reproducibility for even subtle regulatory events. Our data suggests that GFKP-19 can reverse Abeta25-35 induced phosphorylation change in neuro-2a cells, and might protect the neuron system in two ways: firstly, it may decrease oxidative damage and inflammation induced by NO via down regulating the phosphorylation of nitric oxide synthase NOS1 at S847; Secondly, it may decrease tau protein phosphorylation through down-regulating the phosphorylation level of MAPK14 at T180. All mass spectrometry data are available via ProteomeXchange with identifier PXD005312.
PXD005042	28066480	Global Lysine Acetylome Analysis of Desiccated Somatic Embryos of Picea asperata. 	Global lysine acetylome analysis of Picea asperata somatic  1 embryos during partial desiccation	Picea asperata, acetylome	Partial desiccation treatment (PDT) promotes the germination capacity of conifer somatic embryos. Lysine acetylation (LysAc) is a dynamic and reversible post-translational modification that plays a key role in many biological processes including metabolic pathways and stress response. To investigate the functional impact of LysAc in the response of Picea asperata somatic embryos to PDT, we performed a global lysine acetylome analysis. Here, combining antibody-based affinity enrichment and high-resolution mass spectrometry, we identified and validated 1079 acetylation sites in 556 acetylated proteins from P. asperata somatic embryos during PDT. These data represent a novel large-scale dataset of lysine-acetylated proteins from the conifer family. Intensive bioinformatics analysis of the Gene Ontology of molecular functions demonstrated that lysine-acetylated proteins were mainly associated with binding, catalytic activities, and structural molecular activities. Functional characterization of the acetylated proteins revealed that in the desiccated somatic embryos, LysAc is mainly involved in the response to stress and central metabolism. Accordingly, the majority of these interacting proteins were also highly enriched in ribosome, proteasome, spliceosome, and carbon metabolism clusters. This work provides the most comprehensive profile of LysAc for a coniferous species obtained to date and facilitates the systematic study of the physiological role of LysAc in desiccated somatic embryos of P. asperata.
