PXD040221	40440366	Enamel proteins reveal biological sex and genetic variability in southern African Paranthropus. 	Enamel proteins reveal biological sex and intrataxon variability within Paranthropus robustus	Enamel, Palaeoproteomics, dental enamel, human evolution, sequence reconstruction	Paranthropus robustus is a morphologically well-documented Early Pleistocene hominin species from southern Africa with no genetic evidence reported so far. In this work, we describe the mass spectrometric sequencing of enamel peptides from four ~2 million-year-old dental specimens attributed morphologically to P. robustus from the site of Swartkrans in South Africa. The identification of AMELY-specific peptides enabled us to assign two specimens to male individuals, whereas semiquantitative mass spectrometric data analysis attributed the other two to females. A single amino acid polymorphism and the enamel-dentine junction shape variation indicated potential subgroups present within southern African Paranthropus. This study demonstrates how palaeoproteomics can help distinguish sexual dimorphism from other sources of variation in African Early Pleistocene hominins.
PXD061566	40441440	Employing Expression-Matched Controls Enables High Confidence Proximity-Based Interactome Classification. 	Employing Expression-Matched Controls Enables High Confidence Proximity-Based Interactome Classification (Dataset 4)	Background protein, Control, Interacting protein identification, Proximity labeling proteomics, TurboID expression	Proximity labeling approaches have been widely utilized to define protein interactomes. Due to the inherent promiscuity of proximity labeling using TurboID-based approaches, identification and adoption of appropriate labeling controls is a pivotal step to mitigate background interference and enhance interactome assignment accuracy. Here, we evaluate the effectiveness of both expression controls and data normalization strategies in generating high confidence interactome maps. We demonstrate that the extent of control TurboID protein expression is strongly correlated with overall signal intensity and the number of identified proteins from streptavidin-enrichments. Discordant expression levels between the bait and control samples results in high frequency false-negative and false-positive identifications. Data normalization strategies help correct these expression differences but also introduce data distortion for proteins with high or low endogenous expression. Using the ubiquitin ligases RNF10 and HUWE1 as bait proteins, we demonstrate that matching TurboID expression between control and bait proteins allows for similar sampling of non-specific interactions. Using a matched expression strategy results in significantly reduced background interference and increases the accuracy of interactome assignments. These results document the need to alter proximity-labeling experimental workflows to include the generation of matched expression controls to enhance proximity labeling proteomics interactome mapping robustness and reproducibility.
PXD059365	40442064	Cleavage of CAD by caspase-3 determines the cancer cell fate during chemotherapy. 	Cleavage of CAD by caspase-3 determines the cancer cell fate during chemotherapy	CAD, Caspase-3, Chemosensitivity, Pyrimidine metabolism, Tumor heterogeneity	Metabolic heterogeneity resulting from the intra-tumoral heterogeneity mediates massive adverse outcomes of tumor therapy, including chemotherapeutic resistance, but the mechanisms inside remain largely unknown. Here, we find that the de novo pyrimidine synthesis pathway determines the chemosensitivity. Chemotherapeutic drugs promote the degradation of cytosolic Carbamoyl-phosphate synthetase II, Aspartate transcarbamylase, and Dihydroorotase (CAD), an enzyme that is rate-limiting for pyrimidine synthesis, leading to apoptosis. We also find that CAD needs to be cleaved by caspase-3 on its Asp1371 residue, before its degradation. Overexpressing CAD or mutating Asp1371 to block caspase-3 cleavage confers chemoresistance in xenograft and Cldn18-ATK gastric cancer models. Importantly, mutations related to Asp1371 of CAD are found in tumor samples that failed neoadjuvant chemotherapy and pharmacological targeting of CAD-Asp1371 mutations using RMY-186 ameliorates chemotherapy efficacy. Our work reveals the vulnerability of de novo pyrimidine synthesis during chemotherapy, highlighting CAD as a promising therapeutic target and biomarker.
PXD035326	40442239	Biochemical and functional properties of vesicles from planktonic and biofilm phenotypes of Limosilactobacillus reuteri DSM 17938. 	Proteomic analysis of Limosilactobacillus reuteri DSM 17938	Antibiofilm activity, Cell Free Supernatant, Cytotoxicity, Extracellular Membrane Vesicles, Lactobacillus reuteri, Limosilactobacillus reuteri, Metabolomics, Postbiotics, Probiotics	Limosilactobacillus reuteri DSM 17938 is among the world's most studied probiotic strains and has been shown to provide several health benefits for the host. We have previously shown that the cell-free supernatant of L. reuteri DSM 17938 possesses antimicrobial activity and contains several bioactive compounds. Furthermore, the strain was shown to be a biofilm producer that releases both planktonic and biofilm Membrane Vesicles (MVs). In this study, membrane vesicles isolated from planktonic (pMVs) and biofilm (bMVs) phenotypes were comparatively investigated for their toxicity, ability to kill cancer as well as non-cancer cell lines and modulate phagocytosis in murine macrophages. Neither pMVs nor bMVs showed any in vivo toxicity in a Galleria mellonella model, and weakly affected cancer and noncancerous cell viability after both short- and long-term treatments. However, they were able to affect phagocytosis in lipopolysaccharide challenged RAW 264.7 macrophages, suggesting possible immunomodulatory properties. NMR-based metabolomic analysis of pMVs and bMVs identified and quantified engulfed compounds, mainly organic acids and amino acids, with lactate being the most abundant molecule in both vesicle types. bMVs contained higher concentrations of all measured metabolites compared to pMVs. Proteomic analysis of pMVs and bMVs described equivalent protein cargos, emphasizing quantitative compositional differences that presumably reflect the physiological state of each parent bacterial phenotype. Through the assignment of molecules possibly acting as mediators of immune/inflammatory responses in the host and/or modulating known beneficial effects of L. reuteri, important signaling functions of these vesicles were suggested. Finally, storage stability of MVs up to four weeks was established.
PXD046984	40443279	Loss of STARD7 Triggers Metabolic Reprogramming and Cell Cycle Arrest in Breast Cancer. 	Loss of the lipid transfer protein STARD7 triggers metabolic reprogramming and an epigenetic-mediated cell cycle arrest in breast cancer	cancer, lipid transfer, metabolism	Cancer cells adapt their metabolism to support aberrant cell proliferation. However, the functional link between metabolic reprogramming and cell cycle progression remains largely unexplored. Mitochondria rely on the transfer of multiple lipids from the endoplasmic reticulum (ER) to their membranes to be functional. Several mitochondrial-derived metabolites influence cancer cell proliferation by modulating the epigenome. Here, the loss of STARD7, a lipid transfer protein whose expression is enhanced in breast cancer, is shown to lead a metabolic reprogramming characterized by the accumulation of carnitine derivatives and S-Adenosyl-L-methionine (SAM). Elevated SAM levels cause the increase of H3K27 trimethylation on many gene promoters coding for candidates involved in cell cycle progression. Likewise, STARD7 deficiency triggers cell cycle arrest and impairs ERalpha-dependent cell proliferation. Moreover, EGFR signaling is also impaired in triple negative breast cancer cells lacking STARD7, at least due to deregulated EGFR trafficking to lysosomes. Therefore, mitochondria rely on STARD7 to support cell cycle progression in breast cancer.
PXD057819	40443720	Inhibition Peroxiredoxin-2 by Capsaicin Ameliorates Rheumatoid Arthritis via ROS-Mediated Apoptosis in Fibroblast-Like Synoviocytes. 	Inhibition Peroxiredoxin-2 by capsaicin ameliorates rheumatoid arthritis via ROS-mediated apoptosis in fibroblast-like synoviocytes	Antioxidant, Capsaicin, Peroxiredoxin-2, Rheumatoid arthritis	Rheumatoid arthritis (RA), a prevalent and incurable autoimmune disease globally, is characterized by the immune system attacking the body's own tissues, leading to joint inflammation and damage. Capsaicin (CAP), from Capsicum annuum L., is known for its burning sensation-inducing property and has shown various pharmacological effects, yet its specific mechanisms and targets in RA treatment remain largely unclear. This study aimed to investigate the role of CAP in RA by synthesizing CAP probes and using activity-based protein profiling. We found that CAP reduced joint swelling in arthritic mice and exerted anti-inflammatory and antiproliferative effects on fibroblast-like synoviocytes. We identified that CAP binds to PRDX2, inhibiting its antioxidant function and inducing oxidative stress and apoptosis, contributing to the antiarthritic effects. These results suggest that PRDX2 is a potential target for CAP in RA treatment, providing new insights into the molecular mechanisms and potential therapeutic strategies for RA.
PXD063689	40444038	Nafamostat mesylate augments survival in rats afflicted by exertional heat stroke. 	Nafamostat Mesylate Augments Survival in Rats Afflicted by Exertional Heat Stroke	Nafamostat mesylate, heatstroke, rats, thrombosis	Objective: To evaluate the impact of Nafamostat mesylate (NM) in improving survival outcomes among rats subjected to exertional heat stroke. Methods: This study involved a cohort of 45 specific pathogen-free (SPF) male Sprague Dawley (SD) rats. After successfully inducing exertional heat stroke, the rats were randomly divided into three groups: the Control group (Con, n = 15), the Exertional Heat Stroke group (EHS, n = 15), and the Nafamostat Mesylate group (NM, n = 15). A subset of ten rats from each group was selected for a 72-h survival analysis. Three hours following the successful establishment of the model, blood samples were collected under anesthesia for comprehensive analysis. This included routine hematological tests, coagulation assessments, and quantitative proteomics analysis, which were later validated using Parallel Reaction Monitoring (PRM). Additionally, tissue samples were harvested from the brain, heart, lung, kidney, liver, and duodenum of rats in each group for subsequent pathological examination. Results: The 72-h survival rate in the NM group was markedly higher than that observed in the EHS group. Pathological assessments indicated a notable reduction in thrombus formation within the brain, lungs, and liver in the NM group when compared to the EHS group. Furthermore, the NM group exhibited an elevated platelet count and a significant reduction in prothrombin time (PT) and activated partial thromboplastin time (APTT) relative to the EHS group. Proteomic profiling identified a total of 1,971 differentially expressed proteins, with 160 proteins being downregulated and 52 upregulated in the NM group as compared to the EHS group. PRM validation confirmed that the NM group significantly dampened the expression levels of key differential proteins, including ribosomal protein P2 (rpLP2), Histone 4c16 (H4c16), neutrophilic granule protein (NGP), and inositol monophosphatase 1 (Impa1), which are implicated in anti-inflammatory responses, suppression of immune-mediated thrombosis, and enhancement of cellular metabolism. Conclusion: NM mitigates coagulopathy, alleviates thrombus burden, and improves the 72-h survival rate in EHS rats through the modulation of differentially expressed proteins, specifically rpLP2, H4c16, NGP, and Impa1.
PXD034144	40444155	The Porphyromonas gingivalis RNA-binding protein is required for growth in high levels of zinc and persistence with host cells. 	Role of RNA binding protein PgRBP1 in alteration of protein profile of Porphyromonas gingivalis	Bacteroides, Porphyromonas gingivalis, RNA binding protein, regulation	The oral periodontal pathogen Porphyromonas gingivalis must adapt to an ever-changing environment to survive and cause disease. So far, most of the efforts concerning the regulatory mechanisms employed by the bacterium centered on DNA-binding regulators. Although global regulatory mechanisms employing RNA-binding proteins (RBP) are reported in most forms of life so far, such mechanism of regulation remains unknown in the oral Bacteroidetes group. Examination of the genome of P. gingivalis led to the discovery of a putative RBP with the RNA recognition motif 1 (RRM-1) designated here RbpPg1 (RNA-binding protein Porphyromonas gingivalis 1). The recombinant form of the protein-bound RNA and RNA-pull down identified a zinc exporter transcript as the most enriched one in agreement with the higher levels of zinc in the absence of the protein. Deletion of RbpPg1 reduced the ability of the bacterium to grow with 0.5 mM zinc. The RgpB protein level and the Arg-X protease activity was reduced in both iron replete and iron deplete conditions in the mutant strain when compared to the wild type. Lys-X protease activity was reduced, although Kgp protein levels were not altered by deletion of RbpPg1. The mutant grew better in hemin-deplete conditions when compared to the wild type. Finally, RbpPg1 was indispensable for the bacterium to survive with host cells. We have determined that both the transcriptome and proteome are affected by the deletion of RbpPg1 and found that the major group of proteins with elevated expression were the ones associated with response to environmental stress changes, while proteins mediating metabolic processes were downregulated. Overall, the first RBP characterized in P. gingivalis plays a significant role in the biology of the bacterium and differs from RBPs in other Gram-negative bacteria. Data are available via ProteomeXchange with identifier PXD034144 and via the NCBI Gene Expression Omnibus (GEO) and under accession number GSE168570.
PXD056950	40447213	A network of RNA-Binding and Metabolic Proteins evidenced in the Entamoeba histolytica Nuclear Proteome. 	Entamoeba histolytica nuclear proteome	Entamoeba histolytica	Amoebiasis caused by the protozoan parasite Entamoeba histolytica is a serious leading cause of parasite-related death worldwide and there is a need for developing new safe and efficient control methods. The nuclear polyadenylation factor EhCFIm25 has been recently reported as a biochemical target in E. histolytica, being necessary for proliferation and parasite virulence. Interestingly, the prediction and experimental characterization of EhCFIm25 interactome revealed close relationships between nuclear proteins involved in gene expression regulation and typically cytoplasmic enzymes of redox and energy metabolism. Here, the description of the nuclear proteome of E. histolytica obtained by mass spectrometry analysis confirmed the presence of metabolic proteins in the nuclear compartment, which could have moonlight functions. Data are available via ProteomeXchange with identifier PXD056950. The predicted network of RNA-binding and metabolic proteins also evidenced the relevance of five metabolic enzymes in the coordination between energy and RNA metabolism, opening new perspectives for amoebiasis control.
PXD062668	40447567	Integrated plasma and vegetation proteomic characterization of infective endocarditis for early diagnosis and treatment. 	Integrated Plasma and Vegetation Proteomic Characterization of Infective Endocarditis for Early Diagnosis and Treatment	IE, LRG1, NETs, NYHA, Streptococcus	Infective endocarditis, a life-threatening condition, poses challenges for early diagnosis and personalized treatment due to insufficient biomarkers and limited understanding of its pathophysiology. Here, we performed proteomic profiling of plasma and vegetation samples from 238 patients with infective endocarditis and 100 controls, with validation in two external plasma cohorts (n = 328). We developed machine learning-based diagnostic and prognostic models for infective endocarditis, with area under the curve values of 0.98 and 0.87, respectively. Leucine-rich alpha-2-glycoprotein 1 and NADH:ubiquinone oxidoreductase subunit B4 are potential biomarkers associated with infection severity. Pathologically, protein networks characterized by glycometabolism, amino acid metabolism, and adhesion are linked to adverse events. Liver dysfunction may exacerbate the condition in patients with severe heart failure. Neutrophil extracellular traps emerge as promising therapeutic targets in Streptococcus or Staphylococcus aureus infections. Our findings provide insights into biomarker discovery and pathophysiological mechanisms in infective endocarditis, advancing early diagnosis and personalized medicine.
PXD060008	40448242	Proteome profile differences among human, monkey, and mouse brain microvessels and cultured brain microvascular endothelial cells. 	Blood-brain barrier proteomics	DIA, brain microvessels, monkey	BACKGROUND: The blood-brain barrier (BBB) expresses transporters, receptors, and tight junction proteins that regulate the exchange of substances between the blood and brain. The differences in the expression of these proteins in the BBB among different species and cultured BBB model cells should be clarified to interpret the BBB function in model animals and cells. This study aimed to elucidate species differences among humans, monkeys, and mice and in vitro-in vivo differences in the BBB proteome using deep proteomic analysis. METHODS: Brain microvessels (BMVs) were isolated from frozen cerebral cortices of human and monkey and frozen mouse cerebrums. BMVs and cultured brain microvascular endothelial cells (BMECs), such as hCMEC/D3, HBMEC/cibeta, and primary BMECs, were analyzed via data-independent acquisition using liquid chromatography-mass spectrometry. RESULTS: Proteomics identified 7,149-8,274 proteins in the BMV fractions and 6,657-7,534 proteins in the brain lysates. Comparative analysis revealed distinct proteomic profiles among the three species, with the human profile being more similar to that of monkeys than that of mice. The expression profile of the solute carrier organic anion transporter family was found to vary among mouse, monkey, and human BMVs. The expression levels of SLC22A6/Slc22a6 and SLC22A8/Slc22a8 were higher in mice than in monkeys and humans, whereas SLC43A3/Slc43a3 expression levels were lower in mice. The expression of amino acid transporters, such as SLC7A5 and SLC3A2/Slc3a2, was higher in BMVs, whereas that of SLC1A5/Slc1a5 and SLC38A9/Slc38a9 was higher in cultured BMECs. MFSD2A/Mfsd2a and SLC27A1/Slc27a1 were highly expressed in BMVs. The expression of tight junction proteins, particularly the claudin family, varied between BMVs and cultured BMECs and among cell lines. Specifically, the expression of claudin-5 was higher in BMVs, and claudin-11 expression was higher in cultured BMECs. CONCLUSIONS: Deep proteomic analysis revealed species-specific differences in transport-related proteins in the BBB. Furthermore, in vitro and in vivo differences were observed in the transporter and claudin protein expression. This study provides a BBB proteome profile dataset and offers insights for a comprehensive understanding of BBB protein expression across species and between in vivo and in vitro conditions.
PXD056772	40449592	SUMOylation targets O-GlcNAcase to chaperone-mediated autophagy. 	O-GlcNAcase SUMOylation studies identify the SUMO-code in chaperone-mediated autophagy	O-GlcNAcase, SUMOylation	O-GlcNAcase (OGA) is the sole eraser for the intracellular O-linked N-acetylglucosamine (O-GlcNAc). OGA has many roles in distinct biological processes, such as cancer and embryonic stem cells, but its precise regulatory mechanism is far from being understood. Herein we studied the small ubiquitin-like modifier (SUMO) modification of OGA, and found that OGA is SUMOylated at K358. SUMOylation targets OGA to the chaperone-mediated autophagy (CMA) pathway, which shunts client proteins to the lysosome for degradation. We demonstrate that SUMOylation increases the association between OGA and the heat shock cognate protein 70 (HSC70), the CMA chaperone, and facilitates OGA further degradation. We further mapped a SUMO-interacting motif (SIM) (VLIFD, aa. 195-199) on HSC70. Notably, HSC70-SIM is essential for affinity with other CMA client proteins, such as PKM2. We thus posit that the SIM of HSC70 binds SUMOylated client proteins in a lock-and-key manner to confer substrate selectivity during CMA. To further test our hypothesis, we used label-free quantitative mass spectrometry to study the HSC70-SIM mutant interactome, and generated a proteome-wide SUMO-mediated CMA client pool. We then validated this model by studying YEATS domain containing 2 (YEATS2) from the protein pool, and demonstrated that YEATS2 is SUMOylated at K592, targeting it to CMA. Our work uncovers the SUMO-SIM interaction as a fundamental mechanism governing CMA substrate selectivity and identifies a potential CMA client proteome to deepen our understanding of its pathophysiological relevance.
PXD058040	40449597	Map of the Neuronal O-glycoproteome Reveal Driver Functions in the Regulated Secretory Pathway. 	Map of the Neuronal Tissue O-glycoproteome Reveal Specific Traits in the Secretogranin Family	CDG, Granin, O-glycosylation, PNN, central nervous system, dense core granules, domaine, glycosaminoglycans, neuroplasticity, neurotransmitter	Impairments in protein glycosylation, including O-GalNAc-type glycosylation, are linked to severe developmental disorders with prominent neurological involvement. However, the role of this glycosylation pathway at a cellular level is not yet fully understood. Here, we report a comprehensive map of GalNAc-type O-glycoproteins (>800) and O-glycosites (>4,000) from neuronal tissues and cell lines and identify abundant O-glycosites within major classes of proteins involved in neuroplasticity including axon guidance, membrane remodeling, and regulated vesicular secretion. Applying the map, we demonstrate that the regulated secretory pathway constitutes highly O-glycosylated proteins including Chromogranin A, a key player in dense core granulogenesis, and that correct O-glycosylation is important for its multimerization. Concurrently, genetically engineered neuronal cell lines deficient in O-glycosylation exhibit altered capacity for storing neurotransmitter noradrenaline and present enlarged neurotransmitter-containing dense core granules. Collectively, this map provides the foundation for uncovering critical roles for O-glycosylation in regulating neuroplasticity and provides evidence that dense core granule content is regulated by this pathway. Subjects: Granin, glycosylation, glycosaminoglycans, dense core granules (DCG), perineuronal net (PNN), mucin, central nervous system (CNS), neuron, neuroplasticity, neurotransmitter.
PXD059684	40451427	Deciphering the proteomic profile of the parasite Fasciola hepatica after initial vertebrate host infection reveals new insights into its early-stages. 	Deciphering the proteomic profile of the parasite Fasciola hepatica during host migration reveals new insights into early-stage infection	Parasite, SWATH-MS, infection, migration	The migration of the trematode parasite Fasciola hepatica within its vertebrate host following infection by ingestion of the metacercariae represents a critical event in its establishment and survival. The early stages of infection, during which F. hepatica crosses the intestinal barrier and advances to the liver through the peritoneum, initiate changes in the parasite that drive its development from a free-living state on pasture to an obligate blood-feeding parasite. Using an in vivo mouse model, this study explores the proteomic changes in the parasite as it crosses the intestinal barrier and migrates to the peritoneal cavity (24 h post-infection (p.i.)) and liver parenchyma (8 days p.i.). This model was coupled with SWATH-MS, enabling a comparative evaluation of parasite protein abundance during the early stages of infection. We identified a total of 1,180 F. hepatica proteins from three developmental timepoints: newly excysted juveniles (FhNEJ) at 3 h post-excystment in vitro, and parasites collected in vivo at 24 h and 8 days p.i., separated into two different parasite compartments (somatic and tegumental). These extracts exhibited differentially expressed proteins (DEP) across the analysed timepoints, with 274 and 463 DEP identified in parasites obtained at 24 h and 8 days p.i., respectively. Our findings further highlight the adaptations F. hepatica undergoes within the first week of infection, including a shift towards anaerobic metabolic pathways, induction of signal transduction pathways involved in growth, and enrichment of crucial cysteine peptidases associated with feeding and immunomodulation. This study represents the first in-depth proteome analysis of parasites recovered 8 days into infection, adding to the wealth of molecular data available for Fasciola spp. to enhance our understanding of early host-parasite interactions. These data are crucial for the development of future in vitro models of fasciolosis and for identifying vaccine candidates targeting the early parasite stages.
PXD061439	40451765	Tissue-Specific Regulation of Fatty Acid Metabolism in a Mouse Model of Isolated Complex I Deficiency. 	Tissue-specific regulation of fatty acid metabolism in a mouse model of isolated complex I deficiency	Fatty acid metabolism, Mitochondrial disease, Ndufs4 KO, SWATH-MS	Isolated complex I deficiency (ICD) is commonly associated with mitochondrial diseases and closely mimics subacute necrotising encephalomyelopathy. This disorder is characterised by metabolic perturbations that affect energy metabolism pathways, including fatty acid metabolism. Here, we examined the tissue-specific changes in fatty acid metabolism in the Ndufs4 KO mice by employing mass-spectrometry-based proteomics as a hypothesis-generating approach. We investigated proteomic changes in six tissues, including brain regions (brainstem, cerebellum, olfactory bulb), heart, kidney and liver, focusing on proteins involved in fatty acid metabolism. Although it is expected that most tissues, except for the brain, will utilise fatty acids as alternative energy sources when oxidative phosphorylation (OXPHOS) is deficient, our data revealed a more complex response. In the liver, fatty acid consumption (oxidation) was favoured as expected, but in the heart, fatty acid synthesis was favoured. In the kidney, proteins involved in almost all fatty acid metabolic processes (oxidation and synthesis) were downregulated. Our data demonstrate that metabolic adaptations in fatty acid metabolism to ICD were tissue-specific and often in opposing directions. Understanding the differential adaptations across tissues could inform future treatment targets for mitochondrial disorders.
PXD035231	40454630	Integrative Phosphoproteomic and Proteomic Analysis of Candida albicans Exposed to Oxidative Stress. 	Candida albicans phosphoproteome analysis after exposure to hydrogen peroxide	Candida albicans, Shotgun, hydrogen peroxide, oxidative stress, phosphoproteome	Candida albicans is an opportunistic pathogen, which has recently been included in the high-priority list of pathogenic fungi by the World Health Organization (WHO). The scarce arsenal available to treat such invasive fungal infections makes the discovery of new antifungal targets an important task. This study utilizes DDA-MS technology to investigate both the phosphoproteomics and proteomics of C. albicans during its late-stage response to oxidative stress induced by H2O2, aiming to identify key proteins involved. Phosphorylation, as an important post-translational modification, plays a crucial role in the ability of C. albicans to survive oxidative stress. Our study enabled the identification and quantification of important changes in both protein abundance and phosphorylation events across multiple proteins following a 200 min 10 mM H2O2 treatment. The use of the DDA-MS approach allowed for the identification of new actors in the response to oxidative stress. Novel phosphorylation sites were identified in kinases and transcription factors. Regarding protein kinases, Cdc5-reduced phosphorylation may mediate a transient G2 cell cycle arrest, while Kis1-the regulatory beta-subunit of Snf1 kinase-might play a role in ROS scavenging following oxidative stress. In terms of transcription factors, Gzf3-decreased phosphorylation was essential for cell survival and ROS detoxification after oxidative stress.
PXD062096	40456736	Myocardial mitochondrial antiviral signaling protein promotes heart Ischemia-reperfusion injury via RIG-I signaling in mice. 	Myocardial Mitochondrial Antiviral Signaling Protein Promotes Heart Ischemia-reperfusion Injury via RIG-I Signaling-mass spectrometry	MAVS RIG-I MIRI	Myocardial ischemia-reperfusion injury (MIRI) is a life-threatening complication of myocardial infarcts, with inner mitochondrial membrane protein dysfunction involved in MIRI-induced heart injury. The role of outer mitochondrial membrane protein mitochondrial antiviral signaling protein (MAVS) is unknown. Here, we show that MAVS expression increases in infarcted myocardium of male wild-type mice. Global MAVS-knock-out or myocardial-specific MAVS knockdown protects male mice from acute and chronic MIRI. MIRI induces double-stranded RNA in affected myocardium, activating intracellular retinoic acid-inducible gene I (RIG-I) signaling, which leads to MAVS aggregation and subsequent non-canonical downstream signaling. MAVS aggregates recruit tumor necrosis factor-associated factor family 6 (TRAF6) and transforming growth factor-beta-activated kinase 1 (TAK1), the activating mitogen-activated protein kinase (MAPK) pathway and apoptosis. MAVS-knock-out reduces c-jun-NH2 terminal kinase (JNK) phosphorylation and apoptosis. JNK inhibition protects against MIRI in wild-type male mice, whereas JNK agonist impairs protection in MAVS-knock-out male mice. MIRI activates RIG-I/MAVS pathway and subsequently triggers the TAK1/TRAF6 complex, leading to the activation of the MAPK/JNK signaling cascade. This sequential activation cascade may serve as a potential therapeutic target for MIRI.
PXD043453	40461648	Herpes simplex virus 1 evades APOBEC1-mediated immunity via its uracil-DNA glycosylase in mice. 	MS-based determination of vUNG phosphorylation	HSV-1, phosphorylation	Herpes simplex virus 1 (HSV-1) is the most common cause of viral encephalitis, which can be lethal or result in severe neurological defects despite antiviral therapy. The apolipoprotein B messenger-RNA editing enzyme, catalytic polypeptide-like (APOBEC) group of proteins can act as viral restriction factors. How HSV-1 evades this intrinsic immune mechanism is unclear. Here, using human carcinoma HEp-2 cells, we find that phosphorylation and therefore activation of HSV-1 uracil-DNA glycosylase counteracts mouse APOBEC1 DNA-editing activity on HSV-1 genomes. This protects viral genomes, promotes viral replication and encephalitis in the central nervous system of mice. Presence of Apobec1 improved encephalitis outcomes in mice challenged with HSV-1 carrying a mutation in the phosphorylation site of uracil-DNA glycosylase. Treatment with an UNG inhibitor, adeno-associated virus vector expressing UGI, protected wild-type HSV-1-infected mice from lethal encephalitis. These findings identify uracil-DNA glycosylase as a viral factor enabling evasion from intrinsic antiviral immunity mediated by APOBEC1 in the central nervous system and suggests a potential therapeutic approach to treat HSV-1 encephalitis.
PXD058714	40462177	PSMB10 maintains the stemness of chemotherapeutic drug-resistant leukemia cells by inhibiting senescence and cytotoxic T lymphocyte-mediated killing in a ubiquitinated degradation manner. 	AML cell line THP-1 shControl VS THP-1 shPSMB10	AML, PSMB10, THP-1	BACKGROUND: Drug resistance and relapse are still major challenges in acute myeloid leukemia (AML) because of the inability to effectively eradicate leukemia stem cells (LSCs). Senescence induction combined with immune killing may offer promising strategies for LSC eradication. However, whether and how drug-resistant LSCs retain stemness via senescence and immune regulation remains unknown. METHODS: The immunoproteasome subunit PSMB10 expression levels were analyzed by single-cell RNA-seq data, along with the bioinformatics analysis of publicly available AML datasets, and quantified using RT-qPCR and flow cytometry (FCM) analysis on clinical samples from AML patients. The cellular senescence was evaluated by the assays of cell proliferation, cell cycle, senescence-associated beta-galactosidase activity, and senescence-associated secretory phenotype factors. In vitro T-cell killing assay was played to determine immune escape reprogramming of AML cells. FCM was conducted to estimate intracellular drug concentration and cellular apoptosis rates. Human AML xenografts and PSMB10 knockout syngeneic mouse bone marrow transplantation models were utilized to investigate the function of PSMB10. Various techniques were employed for mechanism studies, including Lentivirus transduction or siRNA transfection, western blotting, co-immunoprecipitation assays, luciferase reporter assays, polysome profiling assays, quantitative proteomics, etc. RESULTS: PSMB10 mRNA was significantly upregulated in the surviving nonsenescent LSCs, exhibiting a 13-fold increase compared to senescent LSCs following chemotherapy. The specific high expression of PSMB10 in post-chemotherapy nonsenescent LSCs predicts a poor AML prognosis. The genetic inactivation of PSMB10 resulted in increased senescence and cytotoxic T lymphocyte (CTL) killing, as well as increased intracellular drug concentrations and drug-induced cellular senescence in different types of human AML cells, which also impeded human and murine leukemia initiation and stemness maintenance in vivo with a 19-fold decrease in the frequency of human LSCs and a 7.6-fold decrease of drug-resistant mouse LSCs, while normal hematopoietic cells remained unaffected. Mechanistically, the downregulation of PSMB10 boosted SLC22A16-mediated drug endocytosis and further induced chemotherapy drug-mediated senescence through the RPL6/RPS6-MDM2-P21 pathway in AML cells. Additionally, downregulating PSMB10 also impeded MHC-I protein degradation-induced escape of CTL killing. CONCLUSIONS: PSMB10 is a key candidate molecular target for eradicating drug-resistant LSCs via senescence and immune regulation.
PXD059225	40464632	A Differential Proteomic Analysis on Patient Sera with Neuromyelitis Spectrum Disorders (NMOSD) and Myelin Oligodendrocyte Glycoprotein Antibody-Associated Disease (MOGAD) Suggested Shared and Distinct Disease Mechanisms. 	Differential serum proteomics of neuromyelitis spectrum disorders (NMOSD) and myelin oligodendrocyte glycoprotein antibody-associated disease (MOGAD)	MOGAD, NMOSD, autoimmune nerve system disease, demyelination, patient sera, shotgun proteomics	Neuromyelitis optica spectrum disorders (NMOSD) and myelin oligodendrocyte glycoprotein antibody-associated disease (MOGAD) are two types of autoimmune-mediated central nervous system (CNS) inflammatory demyelinating diseases that have similar clinical manifestations but with different pathogenesis and prognosis. Here, we reported on a differential proteomic analysis on the patient sera with the two diseases. Serum samples of 25 aquaporin-4 (AQP4)-IgG+ NMOSD patients, 16 MOGAD patients, and 8 healthy individuals were submitted to shotgun analysis using nano-LC-MS/MS. Totally, 584 nonredundant proteins were identified and quantified, among which 340 proteins were detected in at least three samples per group. Statistical analysis revealed 40 proteins had significant difference in at least one group-pair comparison (fold change >1.2 or <0.83 and multiple-sample test ANOVA-q < 0.05). Also, 38 proteins were detected only in the patient groups and not in the healthy controls. Bioinformatic analysis on these 78 proteins revealed that disturbance of the immune system, hemostasis processes, and carbohydrate metabolism occurred in both diseases, while the dysregulation patterns suggested different mechanisms. We expect this work would provide useful information to improve the understanding of the mechanisms of NMOSD and MOGAD and suggest potential diagnostic markers and treatment targets.
